a1 92.58895814054318[nm]
b1 47.63166952494828[nm]
c1 70.11031383274573[nm]
x1 1129.8063730534404[nm]
y1 1160.727515949784[nm]
z1 224.98502108716747[nm]
theta1 -149.88152970314056[degrees]
a2 143.82232710747797[nm]
b2 125.48363639369234[nm]
c2 134.65298175058516[nm]
x2 887.4482178418156[nm]
y2 128.35798643280833[nm]
z2 224.98502108716747[nm]
theta2 -127.75130164242617[degrees]
a3 178.3954247141215[nm]
b3 123.84638789191955[nm]
c3 151.12090630302052[nm]
x3 274.6185102278307[nm]
y3 225.19127647811584[nm]
z3 224.98502108716747[nm]
theta3 -102.89875110416445[degrees]
a4 186.1964568037603[nm]
b4 117.18314611302677[nm]
c4 151.68980145839353[nm]
x4 531.7295469346958[nm]
y4 395.76119777246083[nm]
z4 224.98502108716747[nm]
theta4 -176.4576388078063[degrees]
a5 146.59579850207282[nm]
b5 134.08904925547537[nm]
c5 140.3424238787741[nm]
x5 895.5926809071046[nm]
y5 125.20427811754845[nm]
z5 224.98502108716747[nm]
theta5 -125.41705527646744[degrees]
a6 250.19571006598363[nm]
b6 161.64074741245867[nm]
c6 205.91822873922115[nm]
x6 1526.474010346592[nm]
y6 353.5337590722177[nm]
z6 224.98502108716747[nm]
theta6 -121.32869286780416[degrees]
a7 275.3855185091013[nm]
b7 172.58452366523363[nm]
c7 223.98502108716747[nm]
x7 999.5743281868345[nm]
y7 424.4919539440272[nm]
z7 224.98502108716747[nm]
theta7 -51.78589647303888[degrees]
a8 171.36751706928675[nm]
b8 94.22701171150217[nm]
c8 132.79726439039445[nm]
x8 1249.0590940578031[nm]
y8 718.6922821529141[nm]
z8 224.98502108716747[nm]
theta8 -69.59979060515747[degrees]
a9 158.96229391191767[nm]
b9 88.63926387864245[nm]
c9 123.80077889528006[nm]
x9 981.0207920417104[nm]
y9 790.0963225733151[nm]
z9 224.98502108716747[nm]
theta9 -23.28235621348973[degrees]
a10 206.3318507684981[nm]
b10 72.42053119491953[nm]
c10 139.37619098170882[nm]
x10 1196.834170366125[nm]
y10 932.3525316599155[nm]
z10 224.98502108716747[nm]
theta10 -124.78063476099481[degrees]
a11 79.98575525149077[nm]
b11 45.28431947610878[nm]
c11 62.635037363799775[nm]
x11 1138.0539466308835[nm]
y11 1164.4140777606035[nm]
z11 224.98502108716747[nm]
theta11 -118.40809130832014[degrees]
a12 76.00322319852704[nm]
b12 57.83102896670434[nm]
c12 66.91712608261568[nm]
x12 1639.8706172286322[nm]
y12 638.2556663306076[nm]
z12 224.98502108716747[nm]
theta12 -117.75854060106002[degrees]
a13 51.344595849096336[nm]
b13 46.07934944524721[nm]
c13 48.71197264717178[nm]
x13 483.98605187480035[nm]
y13 649.4477709395535[nm]
z13 224.98502108716747[nm]
theta13 -141.6486451832689[degrees]
a14 149.22595072034957[nm]
b14 80.13248681809766[nm]
c14 114.67921876922361[nm]
x14 1593.300358319307[nm]
y14 972.3350646936732[nm]
z14 224.98502108716747[nm]
theta14 -92.20912759530029[degrees]
a15 85.85097101315534[nm]
b15 49.56542288474494[nm]
c15 67.70819694895015[nm]
x15 496.4116174512939[nm]
y15 1133.0045796669485[nm]
z15 224.98502108716747[nm]
theta15 -90.88594659385424[degrees]
a16 123.96726646383247[nm]
theta16 -2.3286747019544336[nm]
c16 60.81929588093902[nm]
x16 235.94825467059982[nm]
