a1 233.68068935681336[nm]
b1 101.92850282579266[nm]
c1 167.804596091303[nm]
x1 590.8097600900303[nm]
y1 143.6509966409194[nm]
z1 196.95319025901472[nm]
theta1 -158.0978596407897[degrees]
volume1 16742138.539672974[nm^3]
a2 143.82232710747797[nm]
b2 125.48363639369234[nm]
c2 134.65298175058516[nm]
x2 887.4482178418156[nm]
y2 128.35798643280833[nm]
z2 196.95319025901472[nm]
theta2 -127.75130164242617[degrees]
volume2 10179301.815278884[nm^3]
a3 178.3954247141215[nm]
b3 123.84638789191955[nm]
c3 151.12090630302052[nm]
x3 274.6185102278307[nm]
y3 225.19127647811584[nm]
z3 196.95319025901472[nm]
theta3 -102.89875110416445[degrees]
volume3 13985571.411089381[nm^3]
a4 143.01895281055462[nm]
b4 65.5405184470284[nm]
c4 104.27973562879151[nm]
x4 1482.261022084031[nm]
y4 232.74899053139555[nm]
z4 196.95319025901472[nm]
theta4 -87.87234276751322[degrees]
volume4 4094416.295806285[nm^3]
a5 97.87566611624727[nm]
b5 52.36403656291695[nm]
c5 75.11985133958211[nm]
x5 1082.094851442995[nm]
y5 278.74357570781257[nm]
z5 196.95319025901472[nm]
theta5 -84.03166780248307[degrees]
volume5 1612691.0558199869[nm^3]
a6 186.1964568037603[nm]
b6 117.18314611302677[nm]
c6 151.68980145839353[nm]
x6 531.7295469346958[nm]
y6 395.76119777246083[nm]
z6 196.95319025901472[nm]
theta6 -176.4576388078063[degrees]
volume6 13863776.814256575[nm^3]
a7 220.7804984742522[nm]
b7 135.81404137092386[nm]
c7 178.29726992258804[nm]
x7 965.6452621735604[nm]
y7 481.7212358416369[nm]
z7 196.95319025901472[nm]
theta7 -3.5620086397006583[degrees]
volume7 22394361.512109213[nm^3]
a8 149.3793775906486[nm]
b8 82.98436342815815[nm]
c8 116.18187050940338[nm]
x8 1471.3678960807881[nm]
y8 459.93789484039576[nm]
z8 196.95319025901472[nm]
theta8 -21.54928447119382[degrees]
volume8 6032729.964924099[nm^3]
a9 171.36751706928675[nm]
b9 94.22701171150217[nm]
c9 132.79726439039445[nm]
x9 1249.0590940578031[nm]
y9 718.6922821529141[nm]
z9 196.95319025901472[nm]
theta9 -69.59979060515747[degrees]
volume9 8982178.068964386[nm^3]
a10 58.072587382330475[nm]
b10 44.87388895142556[nm]
c10 51.47323816687802[nm]
x10 1644.160861534004[nm]
y10 649.7048135314926[nm]
z10 196.95319025901472[nm]
theta10 -12.765565781058621[degrees]
volume10 561868.887884181[nm^3]
a11 158.96229391191767[nm]
b11 88.63926387864245[nm]
c11 123.80077889528006[nm]
x11 981.0207920417104[nm]
y11 790.0963225733151[nm]
z11 196.95319025901472[nm]
theta11 -23.28235621348973[degrees]
volume11 7306884.5982075175[nm^3]
a12 102.38368208341727[nm]
b12 71.24443446063991[nm]
c12 86.81405827202859[nm]
x12 694.8245481878387[nm]
y12 797.4859658201398[nm]
z12 196.95319025901472[nm]
theta12 -75.48330004114537[degrees]
volume12 2652530.3117755614[nm^3]
a13 206.3318507684981[nm]
b13 72.42053119491953[nm]
c13 139.37619098170882[nm]
x13 1196.834170366125[nm]
y13 932.3525316599155[nm]
z13 196.95319025901472[nm]
theta13 -124.78063476099481[degrees]
volume13 8723789.555816397[nm^3]
a14 149.22595072034957[nm]
b14 79.69025320249717[nm]
c14 114.45810196142338[nm]
x14 1591.1296549266497[nm]
y14 967.8070123339471[nm]
z14 196.95319025901472[nm]
theta14 -92.20912759530029[degrees]
volume14 5701441.9952361705[nm^3]
a15 75.47847738397138[nm]
b15 44.534469522428786[nm]
c15 60.00647345320009[nm]
x15 647.2737091491882[nm]
y15 932.2512368476065[nm]
z15 196.95319025901472[nm]
theta15 -146.96205139766624[degrees]
volume15 844901.5906439093[nm^3]
a16 79.98575525149077[nm]
b16 45.28431947610878[nm]
c16 62.635037363799775[nm]
x16 1138.0539466308835[nm]
y16 1164.4140777606035[nm]
z16 196.95319025901472[nm]
theta16 -118.40809130832014[degrees]
volume16 950312.5084332759[nm^3]
a17 319.133314649823[nm]
b17 239.35762898968622[nm]
c17 279.2454718197546[nm]
x17 407.7904815523918[nm]
y17 298.00898937568394[nm]
z17 655.4959320013573[nm]
theta17 -28.30613615659185[degrees]
volume17 89349919.57617177[nm^3]
a18 166.137332596162[nm]
b18 87.4372558453537[nm]
c18 126.78729422075784[nm]
x18 1000.5263677336579[nm]
y18 110.22422325511447[nm]
z18 655.4959320013573[nm]
theta18 -173.4238857894455[degrees]
volume18 7714860.818111894[nm^3]
a19 105.10596035592658[nm]
b19 58.19887804409693[nm]
c19 81.65241920001176[nm]
x19 56.56541497249462[nm]
y19 240.6103005660528[nm]
z19 655.4959320013573[nm]
theta19 -112.7868534699164[degrees]
volume19 2092182.778771699[nm^3]
a20 232.96911895039875[nm]
b20 83.02682032769287[nm]
c20 157.9979696390458[nm]
x20 1355.6836157523899[nm]
y20 358.8121546144544[nm]
z20 655.4959320013573[nm]
theta20 -164.35356188433704[degrees]
volume20 12801382.63000726[nm^3]
a21 161.32490932447112[nm]
b21 104.24557144150363[nm]
c21 132.78524038298738[nm]
x21 882.4485343214243[nm]
y21 431.2894397788081[nm]
z21 655.4959320013573[nm]
theta21 -105.10350645777817[degrees]
volume21 9354001.978913445[nm^3]
a22 138.3435225141767[nm]
b22 51.504500805831434[nm]
c22 94.92401166000407[nm]
x22 114.31528624641156[nm]
y22 425.98104344112556[nm]
z22 655.4959320013573[nm]
theta22 -136.55515950506717[degrees]
volume22 2833144.36619505[nm^3]
a23 111.45261473676882[nm]
b23 56.833867504994075[nm]
c23 84.14324112088144[nm]
x23 403.6671755946136[nm]
y23 606.2019262078597[nm]
z23 655.4959320013573[nm]
theta23 -151.8070877357302[degrees]
volume23 2232571.2002882776[nm^3]
a24 247.212512137026[nm]
b24 114.09152821759689[nm]
c24 180.65202017731144[nm]
x24 1480.136601019897[nm]
y24 779.5187611234235[nm]
z24 655.4959320013573[nm]
theta24 -115.32666435424083[degrees]
volume24 21342990.79554148[nm^3]
a25 300.20909256051965[nm]
b25 124.22285633436434[nm]
c25 212.215974447442[nm]
x25 1058.7466072063235[nm]
y25 985.0349753097942[nm]
z25 655.4959320013573[nm]
theta25 -60.41223653458138[degrees]
volume25 33150648.927826785[nm^3]
a26 185.75482634224318[nm]
b26 100.66152871296889[nm]
c26 143.20817752760604[nm]
x26 681.4250361307438[nm]
y26 857.8772940547605[nm]
z26 655.4959320013573[nm]
theta26 -176.44920608966152[degrees]
volume26 11216569.596252134[nm^3]
a27 82.16755781551193[nm]
b27 52.47608527141778[nm]
c27 67.32182154346485[nm]
x27 926.995031827356[nm]
y27 852.1299099518709[nm]
z27 655.4959320013573[nm]
theta27 -112.14518003822329[degrees]
volume27 1215923.566213004[nm^3]
a28 88.04420286824498[nm]
b28 56.839034611679956[nm]
c28 72.44161873996246[nm]
x28 746.346966435462[nm]
y28 1009.0432910786893[nm]
z28 655.4959320013573[nm]
theta28 -131.94440654224707[degrees]
volume28 1518532.930545072[nm^3]
a29 203.62108804798768[nm]
b29 70.85174832300211[nm]
c29 137.2364181854949[nm]
x29 1301.2740590124542[nm]
y29 1176.5285704383189[nm]
z29 655.4959320013573[nm]
theta29 -26.453689258002782[degrees]
volume29 8293375.109389067[nm^3]
a30 166.20272441398598[nm]
b30 75.72062239344315[nm]
c30 120.96167340371457[nm]
x30 1550.5445516350792[nm]
y30 1186.4355843366632[nm]
z30 655.4959320013573[nm]
theta30 -34.91704212203877[degrees]
volume30 6376593.1625638055[nm^3]
a31 123.96726646383247[nm]
b31 80.71189440828456[nm]
c31 102.33958043605853[nm]
x31 87.5632761571798[nm]
y31 106.51516806875706[nm]
z31 1186.244309260881[nm]
theta31 -139.48743277847583[degrees]
volume31 4289205.036009743[nm^3]
a32 119.63934107150068[nm]
b32 66.55579184288196[nm]
c32 93.09756645719132[nm]
x32 350.0320312267215[nm]
y32 64.98763445666101[nm]
z32 1186.244309260881[nm]
theta32 -21.25050550713324[degrees]
volume32 3105180.1791408113[nm^3]
a33 190.05854150044047[nm]
b33 110.15122135278492[nm]
c33 150.10488142661268[nm]
x33 988.0337444360387[nm]
y33 134.7833353859146[nm]
z33 1186.244309260881[nm]
theta33 -150.27166383095857[degrees]
volume33 13163159.211463146[nm^3]
a34 155.7974592363028[nm]
b34 134.8512579645084[nm]
c34 145.32435860040562[nm]
x34 1308.0470925048676[nm]
y34 136.10910612796982[nm]
z34 1186.244309260881[nm]
theta34 -50.0694201326125[degrees]
volume34 12789171.086282635[nm^3]
a35 174.3503206243818[nm]
b35 63.64610137118345[nm]
c35 118.99821099778262[nm]
x35 595.0418658119172[nm]
y35 119.18992113589172[nm]
z35 1186.244309260881[nm]
theta35 -152.65457783667304[degrees]
volume35 5531253.949892487[nm^3]
a36 151.58597176807143[nm]
b36 89.12387579161224[nm]
c36 120.35492377984184[nm]
x36 204.7377980445956[nm]
y36 300.18218053539[nm]
z36 1186.244309260881[nm]
theta36 -86.65318135825979[degrees]
volume36 6810916.38099981[nm^3]
a37 131.1198655433453[nm]
b37 103.1742278563708[nm]
c37 117.14704669985805[nm]
x37 852.4209898945822[nm]
y37 268.93768059642724[nm]
z37 1186.244309260881[nm]
theta37 -87.29208251413381[degrees]
volume37 6638342.8143361835[nm^3]
a38 66.00191986803672[nm]
b38 48.26458131689693[nm]
c38 57.13325059246682[nm]
x38 1187.7646714868831[nm]
y38 285.23124669687735[nm]
z38 1186.244309260881[nm]
theta38 -156.70053673931747[degrees]
volume38 762364.4824180596[nm^3]
a39 68.91868131836297[nm]
b39 44.91967753348843[nm]
c39 56.919179425925705[nm]
x39 491.71620252680674[nm]
y39 370.8576234255242[nm]
z39 1186.244309260881[nm]
theta39 -155.7387091475222[degrees]
volume39 738109.5573613428[nm^3]
a40 339.90193128515403[nm]
b40 161.10387959438413[nm]
c40 250.50290543976908[nm]
x40 1418.9883893350807[nm]
y40 680.6224422354744[nm]
z40 1186.244309260881[nm]
theta40 -61.800277067933784[degrees]
volume40 57459389.560136884[nm^3]
a41 192.1974358172265[nm]
b41 109.47460656398836[nm]
c41 150.83602119060743[nm]
x41 1111.957586630919[nm]
y41 527.7380208438326[nm]
z41 1186.244309260881[nm]
theta41 -154.79185567333067[degrees]
volume41 13293968.933847168[nm^3]
a42 56.38251656750593[nm]
b42 52.054659008328294[nm]
c42 54.218587787917116[nm]
x42 97.47255701944097[nm]
y42 430.8471960814113[nm]
z42 1186.244309260881[nm]
theta42 -148.80490241212433[degrees]
volume42 666562.4934898585[nm^3]
a43 73.00214503943485[nm]
b43 61.98639701823849[nm]
c43 67.49427102883666[nm]
x43 167.63389296070724[nm]
y43 494.587036289755[nm]
z43 1186.244309260881[nm]
theta43 -120.60640703150949[degrees]
volume43 1279344.5850028044[nm^3]
a44 96.61228568764217[nm]
b44 64.75614963943572[nm]
c44 80.68421766353894[nm]
x44 1379.6184791265061[nm]
y44 530.427889875481[nm]
z44 1186.244309260881[nm]
theta44 -40.91438322002513[degrees]
volume44 2114416.6817354583[nm^3]
a45 134.24883765289[nm]
b45 101.9140956308055[nm]
c45 118.08146664184775[nm]
x45 366.5439418325423[nm]
y45 630.0818108426363[nm]
z45 1186.244309260881[nm]
theta45 -100.82846666818186[degrees]
volume45 6767295.444320896[nm^3]
a46 168.10025108893845[nm]
b46 86.4690532667062[nm]
c46 127.28465217782232[nm]
x46 1596.4917825537295[nm]
y46 967.5272957131365[nm]
z46 1186.244309260881[nm]
theta46 -58.234413576138266[degrees]
volume46 7749857.474108808[nm^3]
*****************
total_particles 46
total_volume 477280130.2332557[nm^3]
cube_length 1765.592033642668[nm]
volume_fraction 0.08671660619589011
