a1 179.81109376335763[nm]
b1 102.30731588206727[nm]
c1 169.0316101889103[nm]
x1 474.1197588897193[nm]
y1 191.32261421656622[nm]
z1 171.0317101889103[nm]
theta1 -51.670952674253876[degrees]
a2 94.51457537167768[nm]
b2 52.54953020151778[nm]
c2 79.68840485415728[nm]
x2 59.70779946183811[nm]
y2 240.06974733590437[nm]
z2 256.68850485415726[nm]
theta2 -108.90457584261165[degrees]
a3 123.59379885366074[nm]
b3 79.99208394622745[nm]
c3 116.00057290030742[nm]
x3 213.28322448506398[nm]
y3 277.467248908297[nm]
z3 228.00067290030742[nm]
theta3 -50.60927444644581[degrees]
a4 138.22243104308092[nm]
b4 64.98388101432118[nm]
c4 115.78429845642631[nm]
x4 530.2187199984792[nm]
y4 448.37979905516005[nm]
z4 234.78439845642632[nm]
theta4 -130.6711249328096[degrees]
a5 56.58529150736757[nm]
b5 16.959086634280354[nm]
c5 100[nm]
x5 808.1975973665085[nm]
y5 16.46145953571887[nm]
z5 138.0001[nm]
theta5 -173.26398878588066[degrees]
a6 170.96202255724597[nm]
b6 93.0056498527612[nm]
c6 131.98383620500357[nm]
x6 1002.8559276569214[nm]
y6 110.18786581151555[nm]
z6 180.98393620500357[nm]
theta6 -2.5217596524536074[degrees]
a7 161.32490932447112[nm]
b7 108.73978204373621[nm]
c7 135.03234568410366[nm]
x7 879.1108326185548[nm]
y7 433.1239503027751[nm]
z7 183.03244568410366[nm]
theta7 -105.10350645777817[degrees]
a8 111.45261473676882[nm]
b8 54.242806799015774[nm]
c8 82.8477107678923[nm]
x8 403.1170270152061[nm]
y8 606.7472408916622[nm]
z8 91.8478107678923[nm]
theta8 -151.8070877357302[degrees]
a9 67.29301531316702[nm]
b9 34.98934198844109[nm]
c9 100[nm]
x9 735.1671649257376[nm]
y9 615.4194309127074[nm]
z9 171.0001[nm]
theta9 -166.6947634939089[degrees]
a10 28.556111150907174[nm]
b10 17.27931344227136[nm]
c10 100[nm]
x10 46.64090739125016[nm]
y10 669.1237691636545[nm]
z10 198.0001[nm]
theta10 -12.528807709151511[degrees]
a11 89.11342132236088[nm]
b11 68.61203715818327[nm]
c11 89.86990302608945[nm]
x11 1084.5440494590418[nm]
y11 800.4705174323974[nm]
z11 187.87000302608945[nm]
theta11 -154.9981883271618[degrees]
a12 185.75482634224318[nm]
b12 101.07496467776365[nm]
c12 143.41489551000342[nm]
x12 684.185643720754[nm]
y12 866.2352770643703[nm]
z12 174.41499551000342[nm]
theta12 -176.44920608966152[degrees]
a13 144.59405504990696[nm]
b13 119.06563316137249[nm]
c13 153.28011569705995[nm]
x13 1129.6986632759758[nm]
y13 995.281936191375[nm]
z13 203.28021569705996[nm]
theta13 -169.84351797708516[degrees]
a14 171.83286996292233[nm]
b14 100.71852790318458[nm]
c14 139.0426476207055[nm]
x14 931.0509534018778[nm]
y14 1127.2377670978424[nm]
z14 216.0427476207055[nm]
theta14 -147.9946167919165[degrees]
a15 42.30236602731724[nm]
b15 16.10643780814274[nm]
c15 100[nm]
x15 19.211246644874965[nm]
y15 943.394722155784[nm]
z15 136.0001[nm]
theta15 -105.78075330951539[degrees]
a16 178.62191202086638[nm]
b16 86.16965528385154[nm]
c16 132.39578365235894[nm]
x16 1562.5046065853287[nm]
y16 1172.1929311641024[nm]
z16 185.39588365235895[nm]
theta16 -41.78676775828062[degrees]
a17 94.78739539097947[nm]
b17 41.755003339251616[nm]
c17 100[nm]
x17 115.57719879369161[nm]
y17 43.55366589212439[nm]
z17 165.0001[nm]
theta17 -12.673860005623133[degrees]
a18 223.0106054151975[nm]
b18 110.53802311421154[nm]
c18 166.77431426470451[nm]
x18 1357.0438584669753[nm]
y18 362.59766707096117[nm]
z18 190.77441426470452[nm]
theta18 -165.52260429120585[degrees]
a19 247.212512137026[nm]
b19 115.98745412183989[nm]
c19 181.59998312943296[nm]
x19 1481.9500998365215[nm]
y19 778.7019442483909[nm]
z19 181.60008312943296[nm]
theta19 -115.32666435424083[degrees]
a20 100.56228479109764[nm]
b20 34.64350288683785[nm]
c20 67.60289383896774[nm]
x20 1231.8214334514882[nm]
y20 1219.2929999276603[nm]
z20 171.60299383896773[nm]
theta20 -24.986433204779875[degrees]
*****************
total_particles 20
total_volume_ellipsoids 131461360.99125591[nm^3]
x_length_prism 1775.9332945160347[nm]
y_length_prism 1411.5889999306992[nm]
z_length_prism 363.20016625886586[nm]
x_position_prism -34.80677590983957[nm]
y_position_prism -60.77415674573042[nm]
volume_fraction 0.1443833688322998
